Attribute,Attribute Value,PPV,NPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0,0.8181818181818182,0.0,1.0,0.8181818181818182,inf,220,0
race,African-American,0,0.8116591928251121,0.0,1.0,0.8116591928251121,inf,223,1
race,African-American,0,0.7747747747747747,0.0,1.0,0.7747747747747747,inf,222,2
race,African-American,0,0.8169642857142857,0.0,1.0,0.8169642857142857,inf,224,3
race,African-American,0,0.7914893617021277,0.0,1.0,0.7914893617021277,inf,235,4
race,Caucasian,0,0.8225806451612904,0.0,1.0,0.8225806451612904,inf,124,0
race,Caucasian,0,0.8818897637795275,0.0,1.0,0.8818897637795275,inf,127,1
race,Caucasian,0,0.8549618320610687,0.0,1.0,0.8549618320610687,inf,131,2
race,Caucasian,0,0.8083333333333333,0.0,1.0,0.8083333333333333,inf,120,3
race,Caucasian,0,0.8585858585858586,0.0,1.0,0.8585858585858586,inf,99,4
race,Hispanic,0,1.0,0.0,0.0,1.0,,24,0
race,Hispanic,0,0.8518518518518519,0.0,1.0,0.8518518518518519,inf,27,1
race,Hispanic,0,0.6842105263157895,0.0,1.0,0.6842105263157895,inf,19,2
race,Hispanic,0,0.9310344827586207,0.0,1.0,0.9310344827586207,inf,29,3
race,Hispanic,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
race,Other,0,0.7391304347826086,0.0,1.0,0.7391304347826086,inf,23,0
race,Other,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,14,1
race,Other,0,0.8421052631578947,0.0,1.0,0.8421052631578947,inf,19,2
race,Other,0,0.8333333333333334,0.0,1.0,0.8333333333333334,inf,18,3
race,Other,0,0.9285714285714286,0.0,1.0,0.9285714285714286,inf,28,4
sex,female,0,0.8979591836734694,0.0,1.0,0.8979591836734694,inf,49,0
sex,female,0,0.9038461538461539,0.0,1.0,0.9038461538461539,inf,52,1
sex,female,0,0.8269230769230769,0.0,1.0,0.8269230769230769,inf,52,2
sex,female,0,0.8604651162790697,0.0,1.0,0.8604651162790697,inf,43,3
sex,female,0,0.8909090909090909,0.0,1.0,0.8909090909090909,inf,55,4
sex,male,0,0.8157894736842105,0.0,1.0,0.8157894736842105,inf,342,0
sex,male,0,0.831858407079646,0.0,1.0,0.831858407079646,inf,339,1
sex,male,0,0.7964601769911505,0.0,1.0,0.7964601769911505,inf,339,2
sex,male,0,0.8189655172413793,0.0,1.0,0.8189655172413793,inf,348,3
sex,male,0,0.817910447761194,0.0,1.0,0.817910447761194,inf,335,4
